,model,architectures,number_of_labels,labels,model_type,number_of_parameters,memory_consumption
124,korca/bae-roberta-base-boolq,RobertaForSequenceClassification,2,"['LABEL_0', 'LABEL_1']",roberta,124647170,499891712
125,Jeevesh8/bert_ft_cola-88,BertForSequenceClassification,2,"['LABEL_0', 'LABEL_1']",bert,109483778,439076352
126,waboucay/camembert-base-finetuned-xnli_fr-finetuned-nli-rua_wl,CamembertForSequenceClassification,2,"['non-contradiction', 'contradiction']",camembert,110623490,443268608
127,aditeyabaral/finetuned-sail2017-xlm-roberta-base,XLMRobertaForSequenceClassification,3,"['LABEL_0', 'LABEL_1', 'LABEL_2']",xlm-roberta,278045955,1112263168
128,aychang/bert-base-cased-trec-coarse,BertForSequenceClassification,6,"['DESC', 'ENTY', 'ABBR', 'HUM', 'NUM', 'LOC']",bert,108314886,433792512
129,cross-encoder/quora-roberta-base,RobertaForSequenceClassification,1,['LABEL_0'],roberta,124646401,499888640
130,ishan/bert-base-uncased-mnli,BertForSequenceClassification,3,"['LABEL_0', 'LABEL_1', 'LABEL_2']",bert,109484547,439079424
131,socialmediaie/TRAC2020_IBEN_B_bert-base-multilingual-uncased,BertForSequenceClassification,2,"['LABEL_0', 'LABEL_1']",bert,167357954,669763072
132,mrm8488/codebert-base-finetuned-detect-insecure-code,RobertaForSequenceClassification,2,"['LABEL_0', 'LABEL_1']",roberta,124647170,499891712
133,cardiffnlp/bertweet-base-stance-climate,RobertaForSequenceClassification,3,"['LABEL_0', 'LABEL_1', 'LABEL_2']",roberta,134902275,540133888
134,connectivity/bert_ft_qqp-96,BertForSequenceClassification,2,"['LABEL_0', 'LABEL_1']",bert,109483778,439076352
135,fgaim/tiroberta-geezswitch,RobertaForSequenceClassification,5,"['Amharic', 'Blin', ""Ge'ez"", 'Tigre', 'Tigrinya']",roberta,124649477,499900928
136,M47Labs/spanish_news_classification_headlines_untrained,BertForSequenceClassification,10,"['ciencia_tecnologia', 'clickbait', 'cultura', 'deportes', 'economia', 'educacion', 'medio_ambiente', 'opinion', 'politica', 'sociedad']",bert,109858570,439967232
137,XSY/albert-base-v2-imdb-calssification,AlbertForSequenceClassification,2,"['LABEL_0', 'LABEL_1']",albert,11685122,46749184
138,zenkri/autotrain-Arabic_Poetry_by_Subject-920730230,BertForSequenceClassification,25,"['ابتهال', 'اعتذار', 'الاناشيد', 'المعلقات', 'جود', 'حزينه', 'حكمة', 'دينية', 'ذم', 'رثاء', 'رحمة', 'رومنسيه', 'سياسية', 'شوق', 'صبر', 'عامه', 'عتاب', 'عدل', 'غزل', 'فراق', 'قصيره', 'مدح', 'نصيحة', 'هجاء', 'وطنيه']",bert,124460569,497867264
139,CAMeL-Lab/bert-base-arabic-camelbert-da-sentiment,BertForSequenceClassification,3,"['positive', 'negative', 'neutral']",bert,109083651,436982272
140,bondi/bert-semaphore-prediction-w4,BertForSequenceClassification,4,"['LABEL_0', 'LABEL_1', 'LABEL_2', 'LABEL_3']",bert,109853956,439948800
141,cointegrated/roberta-base-formality,RobertaForSequenceClassification,2,"['LABEL_0', 'LABEL_1']",roberta,124647170,499891712
142,boychaboy/MNLI_roberta-base,RobertaForSequenceClassification,3,"['entailment', 'neutral', 'contradiction']",roberta,124647939,499894784
143,fabriceyhc/bert-base-uncased-imdb,BertForSequenceClassification,2,"['neg', 'pos']",bert,109483778,439076352
144,JonatanGk/roberta-base-ca-finetuned-hate-speech-offensive-catalan,RobertaForSequenceClassification,3,"['LABEL_0', 'LABEL_1', 'LABEL_2']",roberta,125980419,504089088
145,classla/bcms-bertic-parlasent-bcs-ter,ElectraForSequenceClassification,3,"['Negative', 'Neutral', 'Positive']",electra,110619651,443273728
146,Raychanan/COVID_RandomOver,BertForSequenceClassification,2,"['LABEL_0', 'LABEL_1']",bert,102269186,409716224
147,gchhablani/bert-base-cased-finetuned-rte,BertForSequenceClassification,2,"['entailment', 'not_entailment']",bert,108311810,433780224
148,emrecan/bert-base-multilingual-cased-snli_tr,BertForSequenceClassification,3,"['entailment', 'neutral', 'contradiction']",bert,177855747,711709184
149,ali2066/DistilBERTFINAL_ctxSentence_TRAIN_editorials_TEST_NULL_second_train_set_null_False,RobertaForSequenceClassification,2,"['LABEL_0', 'LABEL_1']",roberta,124647170,499891712
150,anvay/finetuning-cardiffnlp-sentiment-model,RobertaForSequenceClassification,3,"['Negative', 'Neutral', 'Positive']",roberta,124647939,499894784
151,elozano/tweet_offensive_eval,RobertaForSequenceClassification,2,"['Non-Offensive', 'Offensive']",roberta,124647170,499891712
152,joebobby/finetuning-sentiment-model-5000-samples3,BertForSequenceClassification,5,"['LABEL_0', 'LABEL_1', 'LABEL_2', 'LABEL_3', 'LABEL_4']",bert,109486085,439085568
153,YeRyeongLee/electra-base-discriminator-finetuned-filtered-0602,ElectraForSequenceClassification,6,"['LABEL_0', 'LABEL_1', 'LABEL_2', 'LABEL_3', 'LABEL_4', 'LABEL_5']",electra,109486854,439088640
154,Jeevesh8/feather_berts_92,BertForSequenceClassification,3,"['LABEL_0', 'LABEL_1', 'LABEL_2']",bert,109484547,439079424
155,CAMeL-Lab/bert-base-arabic-camelbert-mix-did-nadi,BertForSequenceClassification,21,"['Algeria', 'Bahrain', 'Morocco', 'Oman', 'Palestine', 'Qatar', 'Saudi_Arabia', 'Somalia', 'Sudan', 'Syria', 'Tunisia', 'United_Arab_Emirates', 'Djibouti', 'Yemen', 'Egypt', 'Iraq', 'Jordan', 'Kuwait', 'Lebanon', 'Libya', 'Mauritania']",bert,109097493,437037568
156,mrm8488/electricidad-base-finetuned-pawsx-es,ElectraForSequenceClassification,2,"['LABEL_0', 'LABEL_1']",electra,109852418,439942656
157,Monsia/camembert-fr-covid-tweet-classification,CamembertForSequenceClassification,5,"['statistiques', 'mesures', 'opinions', 'symptomes', 'divers']",camembert,110625797,443277824
158,gchhablani/bert-base-cased-finetuned-wnli,BertForSequenceClassification,2,"['not_entailment', 'entailment']",bert,108311810,433780224
159,manueltonneau/bert-twitter-en-is-hired,BertForSequenceClassification,2,"['LABEL_0', 'LABEL_1']",bert,108311810,433780224
160,Guscode/DKbert-hatespeech-detection,BertForSequenceClassification,2,"['LABEL_0', 'LABEL_1']",bert,110618882,443270656
161,ASCCCCCCCC/distilbert-base-chinese-amazon_zh_20000,BertForSequenceClassification,6,"['LABEL_0', 'LABEL_1', 'LABEL_2', 'LABEL_3', 'LABEL_4', 'LABEL_5']",bert,102272262,409728512
162,kyleinincubated/autonlp-cat333-624217911,BertForSequenceClassification,29,"['互联网服务', '交通运输', '休闲服务', '传媒', '信息技术', '公用事业', '农业', '化工制造', '医药生物', '商业贸易', '建筑业', '房地产', '教育', '文化', '有色金属', '林业', '汽车制造', '渔业', '电子制造', '电气设备', '畜牧业', '纺织服装制造', '轻工制造', '通信', '采矿业', '钢铁', '银行', '非银金融', '食品饮料']",bert,102289949,409799168
163,ChrisUPM/BioBERT_Re_trained,BertForSequenceClassification,2,"['LABEL_0', 'LABEL_1']",bert,108311810,433780224
