,model,finetuned_dataset,model_name,dataset_name,task_type,batch_size,lr_scheduler_type,learning_rate,gradient_accumulation_steps,num_train_epochs,seed,dataset_path,train_runtime,eval_accuracy,push_to_hub,hub_model_id,push_to_hub_organization,hub_token,peft_method,lora_attention_dimension,lora_alpha,lora_dropout,lora_bias
782,philschmid/tiny-distilbert-classification,tweet_eval/emotion,philschmid/tiny-distilbert-classification,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,21.86372447013855,0.427807486631016,True,,TransferGraph,,,,,,
783,vaariis/distilbert-base-uncased-finetuned-emotion,tweet_eval/emotion,vaariis/distilbert-base-uncased-finetuned-emotion,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,43.50850486755371,0.7754010695187166,True,,TransferGraph,,,,,,
784,ali2066/finetuned_sentence_itr1_2e-05_all_26_02_2022-04_03_26,tweet_eval/emotion,ali2066/finetuned_sentence_itr1_2e-05_all_26_02_2022-04_03_26,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,42.90998864173889,0.7700534759358288,True,,TransferGraph,,,,,,
785,Jeevesh8/init_bert_ft_qqp-33,tweet_eval/emotion,Jeevesh8/init_bert_ft_qqp-33,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,68.99334001541138,0.7727272727272727,True,,TransferGraph,,,,,,
786,marcelcastrobr/sagemaker-distilbert-emotion,tweet_eval/emotion,marcelcastrobr/sagemaker-distilbert-emotion,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,43.474892377853394,0.7780748663101604,True,,TransferGraph,,,,,,
787,heranm/finetuning-sentiment-model-3000-samples,tweet_eval/emotion,heranm/finetuning-sentiment-model-3000-samples,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,43.38293147087097,0.786096256684492,True,,TransferGraph,,,,,,
788,jasonyim2/distilbert-base-uncased-finetuned-emotion,tweet_eval/emotion,jasonyim2/distilbert-base-uncased-finetuned-emotion,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,42.80821681022644,0.7780748663101604,True,,TransferGraph,,,,,,
789,riyadhctg/distilbert-base-uncased-finetuned-cola,tweet_eval/emotion,riyadhctg/distilbert-base-uncased-finetuned-cola,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,43.55351948738098,0.767379679144385,True,,TransferGraph,,,,,,
790,PrasunMishra/finetuning-sentiment-model-3000-samples,tweet_eval/emotion,PrasunMishra/finetuning-sentiment-model-3000-samples,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,43.488938331604,0.7780748663101604,True,,TransferGraph,,,,,,
791,nurkayevaa/autonlp-bert-covid-407910458,tweet_eval/emotion,nurkayevaa/autonlp-bert-covid-407910458,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,43.40029358863831,0.7914438502673797,True,,TransferGraph,,,,,,
792,dapang/distilroberta-base-mic-sym,tweet_eval/emotion,dapang/distilroberta-base-mic-sym,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,47.41149067878723,0.7566844919786097,True,,TransferGraph,,,,,,
793,SetFit/distilbert-base-uncased__sst2__train-16-0,tweet_eval/emotion,SetFit/distilbert-base-uncased__sst2__train-16-0,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,43.60144400596619,0.786096256684492,True,,TransferGraph,,,,,,
794,SetFit/distilbert-base-uncased__hate_speech_offensive__train-16-1,tweet_eval/emotion,SetFit/distilbert-base-uncased__hate_speech_offensive__train-16-1,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,38.32697510719299,0.786096256684492,True,,TransferGraph,,,,,,
795,abdelkader/distilbert-base-uncased-finetuned-emotion,tweet_eval/emotion,abdelkader/distilbert-base-uncased-finetuned-emotion,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,35.90536856651306,0.7754010695187166,True,,TransferGraph,,,,,,
796,gchhablani/fnet-base-finetuned-sst2,tweet_eval/emotion,gchhablani/fnet-base-finetuned-sst2,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,60.38721442222595,0.7219251336898396,True,,TransferGraph,,,,,,
797,Capreolus/bert-base-msmarco,tweet_eval/emotion,Capreolus/bert-base-msmarco,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,67.1145646572113,0.7887700534759359,True,,TransferGraph,,,,,,
798,Splend1dchan/bert-base-uncased-slue-goldtrascription-e3-lr1e-4,tweet_eval/emotion,Splend1dchan/bert-base-uncased-slue-goldtrascription-e3-lr1e-4,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,62.81966853141785,0.7834224598930482,True,,TransferGraph,,,,,,
799,connectivity/cola_6ep_ft-33,tweet_eval/emotion,connectivity/cola_6ep_ft-33,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,62.87802314758301,0.8021390374331551,True,,TransferGraph,,,,,,
800,crcb/isear_bert,tweet_eval/emotion,crcb/isear_bert,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,67.12302708625793,0.7780748663101604,True,,TransferGraph,,,,,,
801,Jeevesh8/init_bert_ft_qqp-49,tweet_eval/emotion,Jeevesh8/init_bert_ft_qqp-49,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,62.51508831977844,0.7807486631016043,True,,TransferGraph,,,,,,
802,yukta10/finetuning-sentiment-model-3000-samples,tweet_eval/emotion,yukta10/finetuning-sentiment-model-3000-samples,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,37.69977879524231,0.7754010695187166,True,,TransferGraph,,,,,,
803,connectivity/cola_6ep_ft-22,tweet_eval/emotion,connectivity/cola_6ep_ft-22,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,62.55064392089844,0.8021390374331551,True,,TransferGraph,,,,,,
804,Jeevesh8/feather_berts_46,tweet_eval/emotion,Jeevesh8/feather_berts_46,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,62.74762344360352,0.8048128342245989,True,,TransferGraph,,,,,,
805,JonatanGk/roberta-base-bne-finetuned-cyberbullying-spanish,tweet_eval/emotion,JonatanGk/roberta-base-bne-finetuned-cyberbullying-spanish,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,76.7992217540741,0.4839572192513369,True,,TransferGraph,,,,,,
806,cambridgeltl/guardian_news_distilbert-base-uncased,tweet_eval/emotion,cambridgeltl/guardian_news_distilbert-base-uncased,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,36.289971590042114,0.7914438502673797,True,,TransferGraph,,,,,,
807,gchhablani/fnet-base-finetuned-cola,tweet_eval/emotion,gchhablani/fnet-base-finetuned-cola,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,54.73405981063843,0.6844919786096256,True,,TransferGraph,,,,,,
808,ncduy/roberta-imdb-sentiment-analysis,tweet_eval/emotion,ncduy/roberta-imdb-sentiment-analysis,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,64.22060656547546,0.7941176470588235,True,,TransferGraph,,,,,,
809,vesteinn/XLMR-ENIS-finetuned-cola,tweet_eval/emotion,vesteinn/XLMR-ENIS-finetuned-cola,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,68.99754405021667,0.7566844919786097,True,,TransferGraph,,,,,,
810,moghis/distilbert-base-uncased-finetuned-emotion,tweet_eval/emotion,moghis/distilbert-base-uncased-finetuned-emotion,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,36.28547859191895,0.7834224598930482,True,,TransferGraph,,,,,,
811,connectivity/bert_ft_qqp-7,tweet_eval/emotion,connectivity/bert_ft_qqp-7,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,62.54034781455994,0.7941176470588235,True,,TransferGraph,,,,,,
812,isakbos/Q8BERT_COLA_L_512,tweet_eval/emotion,isakbos/Q8BERT_COLA_L_512,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,62.81369948387146,0.5347593582887701,True,,TransferGraph,,,,,,
813,moshew/bert-mini-sst2-distilled,tweet_eval/emotion,moshew/bert-mini-sst2-distilled,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,19.63836550712585,0.7085561497326203,True,,TransferGraph,,,,,,
814,amyma21/sincere_question_classification,tweet_eval/emotion,amyma21/sincere_question_classification,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,43.38746070861816,0.7727272727272727,True,,TransferGraph,,,,,,
815,phailyoor/distilbert-base-uncased-finetuned-yahd,tweet_eval/emotion,phailyoor/distilbert-base-uncased-finetuned-yahd,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,43.21739149093628,0.732620320855615,True,,TransferGraph,,,,,,
816,uygarkurt/distilbert-base-uncased-finetuned-emotion,tweet_eval/emotion,uygarkurt/distilbert-base-uncased-finetuned-emotion,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,42.71110391616821,0.7754010695187166,True,,TransferGraph,,,,,,
817,nreimers/mmarco-mMiniLMv2-L6-H384-v1,tweet_eval/emotion,nreimers/mmarco-mMiniLMv2-L6-H384-v1,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,42.729700565338135,0.4946524064171123,True,,TransferGraph,,,,,,
818,gchhablani/fnet-base-finetuned-cola,dbpedia_14,gchhablani/fnet-base-finetuned-cola,,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,dbpedia_14,22434.806194067,0.9918857142857144,True,,TransferGraph,,,,,,
819,arianpasquali/distilbert-base-multilingual-cased-toxicity,tweet_eval/emotion,arianpasquali/distilbert-base-multilingual-cased-toxicity,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,48.61539459228516,0.7032085561497327,True,,TransferGraph,,,,,,
820,robertou2/roberta-base-bne-finetuned-amazon_reviews_multi,tweet_eval/emotion,robertou2/roberta-base-bne-finetuned-amazon_reviews_multi,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,79.97958612442017,0.6764705882352942,True,,TransferGraph,,,,,,
821,neibla/distilbert-base-uncased-finetuned-emotion,tweet_eval/emotion,neibla/distilbert-base-uncased-finetuned-emotion,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,38.57088828086853,0.767379679144385,True,,TransferGraph,,,,,,
822,Anthos23/FS-distilroberta-fine-tuned,tweet_eval/emotion,Anthos23/FS-distilroberta-fine-tuned,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,39.72504782676697,0.786096256684492,True,,TransferGraph,,,,,,
823,pietrotrope/emotion_final,tweet_eval/emotion,pietrotrope/emotion_final,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,36.55807137489319,0.786096256684492,True,,TransferGraph,,,,,,
824,aviator-neural/bert-base-uncased-sst2,tweet_eval/emotion,aviator-neural/bert-base-uncased-sst2,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,63.16140913963318,0.7566844919786097,True,,TransferGraph,,,,,,
825,jaesun/distilbert-base-uncased-finetuned-cola,tweet_eval/emotion,jaesun/distilbert-base-uncased-finetuned-cola,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,38.43639397621155,0.767379679144385,True,,TransferGraph,,,,,,
826,Jeevesh8/bert_ft_qqp-40,tweet_eval/emotion,Jeevesh8/bert_ft_qqp-40,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,62.51557731628418,0.7941176470588235,True,,TransferGraph,,,,,,
827,SetFit/distilbert-base-uncased__sst2__train-32-9,tweet_eval/emotion,SetFit/distilbert-base-uncased__sst2__train-32-9,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,36.47697067260742,0.7807486631016043,True,,TransferGraph,,,,,,
828,strickvl/nlp-redaction-classifier,tweet_eval/emotion,strickvl/nlp-redaction-classifier,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,65.8791093826294,0.8048128342245989,True,,TransferGraph,,,,,,
829,usami/distilbert-base-uncased-finetuned-cola,tweet_eval/emotion,usami/distilbert-base-uncased-finetuned-cola,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,38.35876512527466,0.7780748663101604,True,,TransferGraph,,,,,,
830,connectivity/feather_berts_28,tweet_eval/emotion,connectivity/feather_berts_28,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,63.14244675636292,0.8048128342245989,True,,TransferGraph,,,,,,
831,IMSyPP/hate_speech_it,tweet_eval/emotion,IMSyPP/hate_speech_it,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,72.52500176429749,0.7005347593582888,True,,TransferGraph,,,,,,
832,Jeevesh8/512seq_len_6ep_bert_ft_cola-91,tweet_eval/emotion,Jeevesh8/512seq_len_6ep_bert_ft_cola-91,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,63.07797503471375,0.7887700534759359,True,,TransferGraph,,,,,,
833,Jeevesh8/bert_ft_qqp-9,tweet_eval/emotion,Jeevesh8/bert_ft_qqp-9,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,62.9798641204834,0.7754010695187166,True,,TransferGraph,,,,,,
834,Jeevesh8/bert_ft_qqp-88,tweet_eval/emotion,Jeevesh8/bert_ft_qqp-88,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,63.183552980422974,0.7887700534759359,True,,TransferGraph,,,,,,
835,chiragasarpota/scotus-bert,tweet_eval/emotion,chiragasarpota/scotus-bert,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,18.297278881073,0.427807486631016,True,,TransferGraph,,,,,,
836,Recognai/bert-base-spanish-wwm-cased-xnli,tweet_eval/emotion,Recognai/bert-base-spanish-wwm-cased-xnli,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,79.04537677764893,0.5989304812834224,True,,TransferGraph,,,,,,
837,markt23917/finetuning-sentiment-model-3000-samples,tweet_eval/emotion,markt23917/finetuning-sentiment-model-3000-samples,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,35.88249588012695,0.7967914438502673,True,,TransferGraph,,,,,,
838,JNK789/distilbert-base-uncased-finetuned-tweets-emoji-dataset,tweet_eval/emotion,JNK789/distilbert-base-uncased-finetuned-tweets-emoji-dataset,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,38.53710460662842,0.427807486631016,True,,TransferGraph,,,,,,
839,anirudh21/bert-base-uncased-finetuned-qnli,tweet_eval/emotion,anirudh21/bert-base-uncased-finetuned-qnli,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,63.01506781578064,0.7994652406417112,True,,TransferGraph,,,,,,
840,Jeevesh8/6ep_bert_ft_cola-47,tweet_eval/emotion,Jeevesh8/6ep_bert_ft_cola-47,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,62.70760130882263,0.7914438502673797,True,,TransferGraph,,,,,,
841,oferweintraub/bert-base-finance-sentiment-noisy-search,tweet_eval/emotion,oferweintraub/bert-base-finance-sentiment-noisy-search,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,63.09044694900513,0.7834224598930482,True,,TransferGraph,,,,,,
842,aXhyra/demo_sentiment_31415,tweet_eval/emotion,aXhyra/demo_sentiment_31415,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,36.226272106170654,0.7994652406417112,True,,TransferGraph,,,,,,
843,milyiyo/selectra-small-finetuned-amazon-review,tweet_eval/emotion,milyiyo/selectra-small-finetuned-amazon-review,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,38.2615966796875,0.5240641711229946,True,,TransferGraph,,,,,,
844,saattrupdan/job-listing-relevance-model,tweet_eval/emotion,saattrupdan/job-listing-relevance-model,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,86.4401421546936,0.7433155080213903,True,,TransferGraph,,,,,,
845,aXhyra/presentation_sentiment_1234567,tweet_eval/emotion,aXhyra/presentation_sentiment_1234567,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,36.76006269454956,0.7994652406417112,True,,TransferGraph,,,,,,
846,Alireza1044/albert-base-v2-qnli,tweet_eval/emotion,Alireza1044/albert-base-v2-qnli,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,58.15878629684448,0.7272727272727273,True,,TransferGraph,,,,,,
847,warwickai/fin-perceiver,tweet_eval/emotion,warwickai/fin-perceiver,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,536.4693360328674,0.7299465240641712,True,,TransferGraph,,,,,,
848,liangyuant/distilbert-base-uncased-finetuned-num200-450-405cls,tweet_eval/emotion,liangyuant/distilbert-base-uncased-finetuned-num200-450-405cls,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,39.72173357009888,0.8021390374331551,True,,TransferGraph,,,,,,
849,DoyyingFace/bert-asian-hate-tweets-asian-unclean-freeze-4,tweet_eval/emotion,DoyyingFace/bert-asian-hate-tweets-asian-unclean-freeze-4,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,65.09630084037781,0.7941176470588235,True,,TransferGraph,,,,,,
850,Jeevesh8/lecun_feather_berts-3,tweet_eval/emotion,Jeevesh8/lecun_feather_berts-3,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,65.39415264129639,0.7914438502673797,True,,TransferGraph,,,,,,
851,connectivity/cola_6ep_ft-10,tweet_eval/emotion,connectivity/cola_6ep_ft-10,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,68.65759444236755,0.7780748663101604,True,,TransferGraph,,,,,,
852,jb2k/bert-base-multilingual-cased-language-detection,tweet_eval/emotion,jb2k/bert-base-multilingual-cased-language-detection,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,80.20745825767517,0.6898395721925134,True,,TransferGraph,,,,,,
853,Giyaseddin/distilroberta-base-finetuned-short-answer-assessment,tweet_eval/emotion,Giyaseddin/distilroberta-base-finetuned-short-answer-assessment,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,38.51118874549866,0.732620320855615,True,,TransferGraph,,,,,,
854,connectivity/bert_ft_qqp-25,tweet_eval/emotion,connectivity/bert_ft_qqp-25,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,62.2141809463501,0.8101604278074866,True,,TransferGraph,,,,,,
855,Jeevesh8/6ep_bert_ft_cola-12,tweet_eval/emotion,Jeevesh8/6ep_bert_ft_cola-12,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,62.17994713783264,0.7967914438502673,True,,TransferGraph,,,,,,
856,aXhyra/emotion_trained_31415,tweet_eval/emotion,aXhyra/emotion_trained_31415,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,36.52142643928528,0.7807486631016043,True,,TransferGraph,,,,,,
857,JB173/distilbert-base-uncased-finetuned-emotion,tweet_eval/emotion,JB173/distilbert-base-uncased-finetuned-emotion,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,38.02622747421265,0.767379679144385,True,,TransferGraph,,,,,,
858,aXhyra/presentation_emotion_31415,tweet_eval/emotion,aXhyra/presentation_emotion_31415,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,39.02513647079468,0.7834224598930482,True,,TransferGraph,,,,,,
859,18811449050/bert_finetuning_test,tweet_eval/emotion,18811449050/bert_finetuning_test,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,72.8176691532135,0.767379679144385,True,,TransferGraph,,,,,,
860,nickmuchi/facebook-data2vec-finetuned-finance-classification,tweet_eval/emotion,nickmuchi/facebook-data2vec-finetuned-finance-classification,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,67.42737793922424,0.7112299465240641,True,,TransferGraph,,,,,,
861,Jeevesh8/lecun_feather_berts-51,tweet_eval/emotion,Jeevesh8/lecun_feather_berts-51,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,62.76518797874451,0.8128342245989305,True,,TransferGraph,,,,,,
862,Jeevesh8/bert_ft_qqp-55,tweet_eval/emotion,Jeevesh8/bert_ft_qqp-55,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,62.91132473945618,0.8048128342245989,True,,TransferGraph,,,,,,
863,Jeevesh8/init_bert_ft_qqp-24,tweet_eval/emotion,Jeevesh8/init_bert_ft_qqp-24,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,62.40566539764404,0.7834224598930482,True,,TransferGraph,,,,,,
864,Jeevesh8/feather_berts_96,tweet_eval/emotion,Jeevesh8/feather_berts_96,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,66.86518955230713,0.8074866310160428,True,,TransferGraph,,,,,,
865,AnonymousSub/dummy_2,tweet_eval/emotion,AnonymousSub/dummy_2,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,74.15421485900879,0.713903743315508,True,,TransferGraph,,,,,,
866,viviastaari/finetuning-sentiment-analysis-en-id,tweet_eval/emotion,viviastaari/finetuning-sentiment-analysis-en-id,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,50.40800952911377,0.6737967914438503,True,,TransferGraph,,,,,,
867,Jeevesh8/6ep_bert_ft_cola-29,tweet_eval/emotion,Jeevesh8/6ep_bert_ft_cola-29,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,60.84467148780823,0.7887700534759359,True,,TransferGraph,,,,,,
868,Jeevesh8/init_bert_ft_qqp-28,tweet_eval/emotion,Jeevesh8/init_bert_ft_qqp-28,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,62.20849204063416,0.7941176470588235,True,,TransferGraph,,,,,,
869,connectivity/bert_ft_qqp-17,tweet_eval/emotion,connectivity/bert_ft_qqp-17,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,62.64049458503723,0.786096256684492,True,,TransferGraph,,,,,,
870,vinai/bertweet-base,tweet_eval/emotion,vinai/bertweet-base,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,64.37641477584839,0.8235294117647058,True,,TransferGraph,,,,,,
871,Jeevesh8/bert_ft_qqp-68,tweet_eval/emotion,Jeevesh8/bert_ft_qqp-68,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,64.99243450164795,0.7834224598930482,True,,TransferGraph,,,,,,
872,bert-base-uncased,tweet_eval/emotion,bert-base-uncased,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,62.76685929298401,0.7994652406417112,True,,TransferGraph,,,,,,
873,vinai/bertweet-covid19-base-cased,tweet_eval/emotion,vinai/bertweet-covid19-base-cased,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,64.87549757957458,0.8181818181818182,True,,TransferGraph,,,,,,
874,justinqbui/bertweet-covid19-base-uncased-pretraining-covid-vaccine-tweets,tweet_eval/emotion,justinqbui/bertweet-covid19-base-uncased-pretraining-covid-vaccine-tweets,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,62.95929217338562,0.8128342245989305,True,,TransferGraph,,,,,,
875,dhimskyy/wiki-bert,tweet_eval/emotion,dhimskyy/wiki-bert,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,62.77727174758911,0.6229946524064172,True,,TransferGraph,,,,,,
876,finiteautomata/betonews-tweetcontext,tweet_eval/emotion,finiteautomata/betonews-tweetcontext,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,68.73375701904297,0.6737967914438503,True,,TransferGraph,,,,,,
877,distilbert-base-uncased,tweet_eval/emotion,distilbert-base-uncased,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,36.366950035095215,0.7780748663101604,True,,TransferGraph,,,,,,
878,cross-encoder/quora-distilroberta-base,tweet_eval/emotion,cross-encoder/quora-distilroberta-base,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,40.37465977668762,0.7272727272727273,True,,TransferGraph,,,,,,
879,albert-base-v2,tweet_eval/emotion,albert-base-v2,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,60.85910725593567,0.6016042780748663,True,,TransferGraph,,,,,,
880,bert-base-cased,tweet_eval/emotion,bert-base-cased,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,60.68338084220886,0.7727272727272727,True,,TransferGraph,,,,,,
881,michiyasunaga/LinkBERT-base,tweet_eval/emotion,michiyasunaga/LinkBERT-base,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,65.0052216053009,0.7647058823529411,True,,TransferGraph,,,,,,
882,roberta-base,tweet_eval/emotion,roberta-base,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,68.71021175384521,0.7914438502673797,True,,TransferGraph,,,,,,
883,Aureliano/distilbert-base-uncased-if,tweet_eval/emotion,Aureliano/distilbert-base-uncased-if,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,35.8914589881897,0.7834224598930482,True,,TransferGraph,,,,,,
884,rmihaylov/roberta-base-sentiment-bg,tweet_eval/emotion,rmihaylov/roberta-base-sentiment-bg,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,46.40234589576721,0.7085561497326203,True,,TransferGraph,,,,,,
885,cardiffnlp/twitter-roberta-base-2021-124m,tweet_eval/emotion,cardiffnlp/twitter-roberta-base-2021-124m,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,62.90042757987976,0.8342245989304813,True,,TransferGraph,,,,,,
886,vinai/bertweet-covid19-base-uncased,tweet_eval/emotion,vinai/bertweet-covid19-base-uncased,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,64.58858847618103,0.8048128342245989,True,,TransferGraph,,,,,,
887,juliensimon/autonlp-imdb-demo-hf-16622767,tweet_eval/emotion,juliensimon/autonlp-imdb-demo-hf-16622767,emotion,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,35.63328242301941,0.786096256684492,True,,TransferGraph,,,,,,
